>>System Error :: Message => Illegal string offset 'times' | ErrorNo => 2 | ErrorFile => 54 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 11:55 | Date : 04.02.2015 ] 
>>System Error :: Message => Illegal string offset 'times' | ErrorNo => 2 | ErrorFile => 54 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 11:55 | Date : 04.02.2015 ] 
>>System Error :: Message => Illegal string offset 'times' | ErrorNo => 2 | ErrorFile => 54 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 11:55 | Date : 04.02.2015 ] 
>>System Error :: Message => Illegal string offset 'times' | ErrorNo => 2 | ErrorFile => 55 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 11:55 | Date : 04.02.2015 ] 
>>System Error :: Message => Illegal string offset 'times' | ErrorNo => 2 | ErrorFile => 55 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 11:55 | Date : 04.02.2015 ] 
>>System Error :: Message => Illegal string offset 'times' | ErrorNo => 2 | ErrorFile => 53 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 11:56 | Date : 04.02.2015 ] 
>>System Error :: Message => Illegal string offset 'times' | ErrorNo => 2 | ErrorFile => 53 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 11:56 | Date : 04.02.2015 ] 
>>System Error :: Message => Illegal string offset 'times' | ErrorNo => 2 | ErrorFile => 53 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 11:56 | Date : 04.02.2015 ] 
>>System Error :: Message => Illegal string offset 'times' | ErrorNo => 2 | ErrorFile => 53 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 11:56 | Date : 04.02.2015 ] 
>>System Error :: Message => Illegal string offset 'times' | ErrorNo => 2 | ErrorFile => 54 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 11:56 | Date : 04.02.2015 ] 
>>System Error :: Message => Illegal string offset 'times' | ErrorNo => 2 | ErrorFile => 54 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 11:56 | Date : 04.02.2015 ] 
>>System Error :: Message => Illegal string offset 'times' | ErrorNo => 2 | ErrorFile => 54 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 11:56 | Date : 04.02.2015 ] 
>>System Error :: Message => Illegal string offset 'times' | ErrorNo => 2 | ErrorFile => 54 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 11:56 | Date : 04.02.2015 ] 
>>System Error :: Message => Undefined property: stdClass::$time | ErrorNo => 8 | ErrorFile => 29 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 12:00 | Date : 04.02.2015 ] 
>>System Error :: Message => require(Configs/Configs.php): failed to open stream: No such file or directory | ErrorNo => 2 | ErrorFile => 13 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 12:26 | Date : 04.02.2015 ] 
>>System Error :: Message => Missing argument 2 for Cache\fileCache::get() | ErrorNo => 2 | ErrorFile => 18 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 12:26 | Date : 04.02.2015 ] 
>>System Error :: Message => Undefined variable: that | ErrorNo => 8 | ErrorFile => 21 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 12:26 | Date : 04.02.2015 ] 
>>System Error :: Message => Trying to get property of non-object | ErrorNo => 8 | ErrorFile => 21 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 12:26 | Date : 04.02.2015 ] 
>>System Error :: Message => Missing argument 2 for Cache\fileCache::get() | ErrorNo => 2 | ErrorFile => 18 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 12:27 | Date : 04.02.2015 ] 
>>System Error :: Message => Undefined variable: that | ErrorNo => 8 | ErrorFile => 21 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 12:27 | Date : 04.02.2015 ] 
>>System Error :: Message => Trying to get property of non-object | ErrorNo => 8 | ErrorFile => 21 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 12:27 | Date : 04.02.2015 ] 
>>System Error :: Message => Missing argument 2 for Cache\fileCache::get() | ErrorNo => 2 | ErrorFile => 18 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 12:27 | Date : 04.02.2015 ] 
>>System Error :: Message => Undefined variable: that | ErrorNo => 8 | ErrorFile => 21 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 12:27 | Date : 04.02.2015 ] 
>>System Error :: Message => Trying to get property of non-object | ErrorNo => 8 | ErrorFile => 21 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 12:27 | Date : 04.02.2015 ] 
>>System Error :: Message => Missing argument 2 for Cache\fileCache::get() | ErrorNo => 2 | ErrorFile => 18 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 12:27 | Date : 04.02.2015 ] 
>>System Error :: Message => Undefined variable: that | ErrorNo => 8 | ErrorFile => 21 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 12:27 | Date : 04.02.2015 ] 
